tweetID	userID	anger_intensity	fear_intensity	sadness_intensity	joy_intensity	sentiment_category	emotion_category	keyword	date_stamp
1291300000000000000	4061842071	0.33	0.423	0.337	0.37	positive	joy	covid	8/6/20
1246500000000000000	14216661	0.438	0.372	0.396	0.345	neutral	no specific emotion	covid	4/5/20
1312022700097960000	377951097	0.494	0.573	0.431	0.24	negative	fear	covid	10/2/20
1336400000000000000	1300500000000000000	0.556	0.59	0.556	0.25	negative	fear	covid	12/9/20
1302800000000000000	140091998	0.278	0.298	0.318	0.287	negative	sadness	covid	9/7/20
1257400000000000000	323303720	0.501	0.546	0.451	0.259	negative	fear	covid	5/5/20
1278856061068470000	398303841	0.42	0.371	0.357	0.396	positive	joy	covid	7/3/20
1291866833218390000	1023559214378230000	0.511	0.385	0.37	0.334	negative	anger	covid	8/8/20
1337468520276380000	1411627567	0.647	0.524	0.596	0.196	very negative	anger	covid	12/12/20
1293133774113380000	1177270375102760000	0.326	0.302	0.355	0.228	negative	sadness	covid	8/11/20
